Year,Word,Frequency
2024,round,67
2024,stay,67
2024,always,65
2024,party,65
2024,new,65
2024,talk,64
2024,sticky,64
2024,bye,64
2024,man,63
2024,nothin,63
2024,hate,62
2024,sweet,62
2024,long,62
2024,well,61
2024,아파트,61
2024,end,60
2024,die,60
2024,mean,60
2024,move,60
2024,left,60
2024,hands,60
2024,break,59
2024,around,59
2024,jump,59
2024,nasty,59
2024,please,58
2025,back,257
2025,bad,167
2025,night,166
2025,keep,163
2025,could,145
2025,fuck,144
2025,look,142
2025,life,136
2025,lights,130
2025,run,125
2025,tonight,123
2025,still,122
2025,man,122
2025,really,119
2025,show,117
2025,done,115
2025,eyes,114
2025,would,114
2025,good,111
2025,better,111
2025,call,110
2025,leave,109
2025,think,109
2025,away,108
2025,feeling,106
2025,new,104
2025,friends,99
2025,put,96
2025,said,96
2025,huh,95
2025,hit,94
2025,talk,94
2025,turn,93
2025,every,93
2025,heart,92
2025,lie,90
2025,give,90
2025,bitch,90
2025,dance,89
2025,bout,88
2025,left,87
2025,shit,86
2025,two,84
2025,always,83
2025,dead,82
2025,ladies,81
2025,day,79
2025,long,77
2025,around,76
2025,little,75
2025,world,74
2025,mind,71
2025,thought,70
2025,lookin,70
2025,face,69
2025,things,68
2025,alone,68
2025,try,68
2025,jennie,68
2025,gettin,68
2025,end,67
2025,play,66
2025,god,64
2025,hands,63
2025,fall,61
2025,eat,61
2025,cry,61
2025,might,59
2025,mine,58
2025,song,58
2025,somethin,55
2025,ayy,55
2025,much,55
2025,real,55
2025,head,55
2025,find,54
2025,stay,54
2025,well,54
2025,til,53
2025,everything,53
2025,last,52
2025,sound,52
2025,live,52
2025,made,52
2025,okay,52
2025,hear,52
2025,ever,52
2025,kiss,51
2025,wrong,51
2025,woo,49
2025,beautiful,48
2025,start,48
2025,hold,48
2025,another,47
2025,hope,47
2025,getting,47
2025,body,47
2025,tryna,47
2025,gnarly,47
2025,close,46
