Artist and Title,Artist,Title,Streams,Daily,year,main_genre,genres,first_genre,second_genre,third_genre,id,href,isrc,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Young Thug - Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],442925627,163310,2019,Hip-Hop/Rap,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",atl hip hop,atl trap,gangster rap,bbdd18f0-78de-4624-b0ba-1b08425a651d,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m,USAT21906512,0.188,0.845,0.631,0,7,0.0806,-8.206,0,0.216,111.983,0.545
LiSA - 紅蓮華,LiSA,紅蓮華,442388084,198004,2019,Pop,['k-pop'],k-pop,Unknown,Unknown,852c01b2-f512-4d53-9b92-053d4b27a18e,https://open.spotify.com/track/0qMip0B2D4ePEjBJvAtYre,JPU901900905,0.00321,0.541,0.977,5.13e-05,4,0.0796,-2.828,0,0.157,134.938,0.263
Natanael Cano - Amor Tumbado,Natanael Cano,Amor Tumbado,439794734,343675,2019,World/Traditional,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",corrido,corridos tumbados,musica mexicana,5d54b89d-8f93-415d-b5c6-c3ce4fa94d96,https://open.spotify.com/track/5aJ1M43pinROpwaPnO8KRj,USDXS1911811,0.335,0.576,0.715,2.85e-06,1,0.0772,-5.755,0,0.0354,199.942,0.497
Tiësto - Ritual,Tiësto,Ritual,438071724,69459,2019,Electronic/Dance,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",big room,brostep,dutch edm,25101be1-1db5-46f2-965d-76734531892f,https://open.spotify.com/track/0FEk8LwY8h4rAR63ggfhV0,CYA111900146,0.157,0.647,0.726,0,3,0.0844,-4.389,0,0.0552,114.998,0.769
Billie Eilish - ilomilo,Billie Eilish,ilomilo,437034217,173149,2019,Pop,"['art pop', 'pop']",art pop,pop,Unknown,4624e663-7c8c-44b1-8e05-accb64120749,https://open.spotify.com/track/7qEKqBCD2vE5vIBsrUitpD,USUM71900771,0.724,0.855,0.423,0.469,5,0.0896,-15.044,0,0.0585,120.02,0.572
Lil Tecca - Ransom,Lil Tecca,Ransom,436405237,159580,2019,Hip-Hop/Rap,"['melodic rap', 'pluggnb', 'rap']",melodic rap,pluggnb,rap,83313033-e232-4fce-9f42-f3813f9ff103,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,QZ85M1940160,0.0204,0.745,0.642,0,7,0.0658,-6.257,0,0.287,179.974,0.226
DaBaby - VIBEZ,DaBaby,VIBEZ,435497100,46700,2019,Hip-Hop/Rap,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",hip hop,north carolina hip hop,pop rap,6392ad2f-97d4-4755-8cb0-e11aa251c39c,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM,USUM71919281,0.113,0.768,0.652,0,1,0.107,-2.708,0,0.307,154.187,0.777
P!nk - Walk Me Home,P!nk,Walk Me Home,432855118,59255,2019,Pop,[],Unknown,Unknown,Unknown,b98d68ae-f3f2-447b-8076-ced4c732ae0f,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE,USRC11900110,0.0507,0.652,0.453,0,1,0.179,-6.119,1,0.0445,88.039,0.432
Lil Tjay - Sex Sounds,Lil Tjay,Sex Sounds,428158995,240977,2019,Hip-Hop/Rap,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",brooklyn drill,melodic rap,nyc rap,931568ef-cfa3-4ba0-aa1b-6827027e831d,https://open.spotify.com/track/5JtvedSVWW9McnoEAPJwQm,USSM11909049,0.281,0.857,0.427,0,8,0.108,-8.638,1,0.112,130.033,0.366
Lenin Ramírez - Yo Ya No Vuelvo Contigo,Lenin Ramírez,Yo Ya No Vuelvo Contigo,427757103,152521,2019,World/Traditional,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sad sierreno', 'sierreno']",banda,corrido,musica mexicana,377e660f-0775-4187-aed6-105eab126732,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd,USE7D1900262,0.784,0.643,0.35,0,4,0.102,-5.924,0,0.0783,118.199,0.541
YNW Melly - Mixed Personalities,YNW Melly,Mixed Personalities,427156845,69477,2019,Hip-Hop/Rap,"['melodic rap', 'rap']",melodic rap,rap,Unknown,b390f7e2-d485-4ffb-94f3-db3a6a26ec15,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL,QMCE31902201,0.457,0.661,0.44,0,2,0.128,-9.104,1,0.0803,149.937,0.352
Lil Baby - Woah,Lil Baby,Woah,426960792,90444,2019,Hip-Hop/Rap,"['atl hip hop', 'atl trap', 'rap', 'trap']",atl hip hop,atl trap,rap,b435428c-f47d-4b3f-8c1c-7d232e8c42ab,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob,USUG11902877,0.0177,0.883,0.599,0,11,0.179,-5.551,1,0.248,142.976,0.413
Lil Mosey - Stuck In A Dream,Lil Mosey,Stuck In A Dream,426394242,56139,2019,Hip-Hop/Rap,"['melodic rap', 'rap conscient']",melodic rap,rap conscient,Unknown,ca344155-f3a2-4467-8978-b4553dbf9897,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ,USUM71911881,0.484,0.748,0.648,0,10,0.126,-6.445,0,0.0816,139.952,0.726
Kanye West - Follow God,Kanye West,Follow God,425865178,152118,2019,Hip-Hop/Rap,"['chicago rap', 'hip hop', 'rap']",chicago rap,hip hop,rap,1bcaca30-ebc8-44f5-b331-57692e794879,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h,USUM71920463,0.000248,0.529,0.9,1.21e-05,1,0.0426,-3.503,1,0.418,180.291,0.434
JACKBOYS - GATTI,JACKBOYS,GATTI,424401631,132624,2019,Pop,['pop rap'],pop rap,Unknown,Unknown,5db715c9-91b2-462a-adca-cbb249011d4b,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g,USSM11915307,0.135,0.594,0.676,0,2,0.163,-5.808,1,0.344,143.477,0.472
Doja Cat - Rules,Doja Cat,Rules,424207811,148263,2019,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,661a2e94-3fa5-4966-ab99-5aa12c41fec3,https://open.spotify.com/track/1TMWcbxL5YF8rKsFHv5hAP,USRC11902867,0.172,0.651,0.724,0,7,0.13,-5.457,1,0.166,144.146,0.686
"Tyler, The Creator - GONE, GONE / THANK YOU","Tyler, The Creator","GONE, GONE / THANK YOU",422970578,237190,2019,Hip-Hop/Rap,"['hip hop', 'rap']",hip hop,rap,Unknown,b3b93f00-73d7-476f-aacf-05e20b33e220,https://open.spotify.com/track/1hz7SRTGUNAtIQ46qiNv2p,USQX91901118,0.216,0.518,0.492,0.0012,10,0.146,-8.436,0,0.193,78.848,0.471
Taylor Swift - Daylight,Taylor Swift,Daylight,422271846,424596,2019,Pop,['pop'],pop,Unknown,Unknown,a05772e1-bcd6-48f1-bba9-011b8f9dafa6,https://open.spotify.com/track/1fzAuUVbzlhZ1lJAx9PtY6,USUG11901486,0.808,0.557,0.496,0.000173,0,0.0772,-9.602,1,0.0563,149.983,0.265
Dean Lewis - Half A Man,Dean Lewis,Half A Man,421918952,215088,2019,Pop,"['australian pop', 'pop']",australian pop,pop,Unknown,42fae6af-a2be-45ef-89d5-b9128663f043,https://open.spotify.com/track/1ugQtcwmKOXvKAYzhjncmv,AUUM71800258,0.855,0.411,0.204,0,0,0.143,-11.575,1,0.0578,70.853,0.337
Tyga - Ayy Macarena,Tyga,Ayy Macarena,421731219,62534,2019,Hip-Hop/Rap,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",hip hop,pop rap,rap,8d1db2e0-04e4-443d-a049-28e2be8e5634,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,USQX91903309,0.133,0.816,0.629,0,2,0.0692,-5.568,1,0.226,96.493,0.714
